parcel_id,parcel_status,has_displacement,pnt_id,pnt_gid,pnt_lat,pnt_lon,centroid_lat,centroid_lon,geometry_type,is_multipart,part_count,exterior_vertex_count,interior_ring_count,knmi_id,knmi_name,soilcode,soil_descr,ghg_mean,glg_mean,region,peilgebied,cropcode,area,perimeter,meteo_id,model_soilcode,vI,var_vI,T,dof,sigmasq_test,xP,xE,xI,tau
294,moving,True,294.0,7887.0,51.97936512397487,4.768148917929832,51.979365127200225,4.768148921007701,Polygon,False,1,17,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,10914.80004119873,427.9526525730134,348.0,hVb,-6.097185371501669,0.04117040264062727,274.56467330317685,372.0,0.7380770787719808,0.07735126497400001,0.12398599867000001,-0.029580038188,70.0
443,moving,True,443.0,7825.0,51.930750656544966,4.659875142846493,51.93075064572157,4.659875315861064,Polygon,False,1,38,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Kinderdijk,7157.0,265.0,38140.98048019409,1774.6508438888343,348.0,hVb,-6.334604683450048,0.015259461359375833,477.17541076876466,573.0,0.8327668599803921,0.068184056633,0.158130849488,-0.026298306937000002,67.0
444,moving,True,444.0,7560.0,51.92943763875664,4.663422992567311,51.929437643814964,4.663423012105492,Polygon,False,1,18,0,348,Cabauw mast,hVc,"Koopveengronden op zeggeveen, rietzeggeveen of (mesotroof) broekveen",17.0,66.0,Kinderdijk,7157.0,265.0,12772.205825805664,634.9985576387863,348.0,hVc,-7.369260643622121,0.01648272937500109,361.958196482704,501.0,0.7224714500652775,0.076986176212,0.183286319511,-0.030373047475,68.0
446,moving,True,446.0,7652.0,51.93761526814366,4.641939018022641,51.937615265779776,4.641939108747407,Polygon,False,1,41,0,344,Rotterdam,dMv41C,"Kalkarme drechtvaaggronden; zware klei, profielverloop 1",23.125,83.5,Kinderdijk,7157.0,265.0,19565.003299713135,1316.2842687179234,344.0,dMv41C,-5.149274507818747,0.01649740234374998,372.2978418524966,434.0,0.8578291286923885,0.070939282669,0.117263488875,-0.027012587582,70.0
447,moving,True,447.0,7508.0,51.93870166682369,4.651883353111997,51.938701668777085,4.65188337771239,Polygon,False,1,34,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Kinderdijk,7157.0,265.0,13124.067153930664,714.8231527340611,348.0,pVb,-6.2857120559972,0.01823257125000116,453.5592844730098,555.0,0.8172239359874051,0.076296916523,0.141541475875,-0.028123991302000002,70.0
449,moving,True,449.0,7652.0,51.939531365917254,4.643785284888523,51.939531367245394,4.643785393313927,Polygon,False,1,48,0,344,Rotterdam,dMv41C,"Kalkarme drechtvaaggronden; zware klei, profielverloop 1",22.25,81.0,Kinderdijk,7157.0,265.0,30617.180191040043,1574.7699212555644,344.0,dMv41C,-5.95339478021185,0.015981245312500534,293.1407032352088,468.0,0.6263690240068563,0.071819268289,0.165828127671,-0.026847327081,70.0
502,moving,True,502.0,7984.0,51.95951898233082,4.7787548409447185,51.95951897741938,4.778754843414483,Polygon,False,1,55,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,10480.382022857666,592.4880471778476,348.0,hVb,-6.2890697133051,0.10430360423438245,96.5429840732785,253.0,0.3815928224240257,0.131499612531,0.271867210826,-0.026919506531,70.0
504,moving,True,504.0,7984.0,51.96031117275476,4.779573364516476,51.96031116699108,4.779573366757605,Polygon,False,1,66,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,8630.280948638916,808.8613608699208,348.0,hVb,-6.568318895350649,0.05565249328125464,192.90550160751542,335.0,0.5758373182313893,0.07408676802,0.178859898649,-0.026850562679,69.0
522,blank_no_displacement,False,,,,,51.9816293425335,4.69917204814222,Polygon,False,1,33,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25465.0,1047.0,10963.154724121094,1086.019180111989,,,,,,,,,,,
618,moving,True,618.0,7508.0,51.93782956307019,4.654782969120976,51.93782955594285,4.65478310115246,Polygon,False,1,96,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Kinderdijk,7157.0,265.0,18642.721446990967,1565.2986281947474,348.0,pVb,-5.672399670300048,0.019525429687500328,478.3255603147551,664.0,0.7203698197511371,0.068249021763,0.109599825581,-0.027502543856,68.0
620,moving,True,620.0,7508.0,51.93713503469847,4.653678130005663,51.93713502666043,4.653678261003098,Polygon,False,1,88,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Kinderdijk,7157.0,265.0,32120.169857025146,2304.4835484050695,348.0,pVb,-6.2438648553774545,0.01860790306250121,427.31592834885066,572.0,0.7470558187916969,0.07144488306600001,0.14483573564600002,-0.027310507842000002,59.0
625,moving,True,625.0,7825.0,51.937174337113426,4.655335997461541,51.93717432766116,4.655336135928641,Polygon,False,1,66,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Kinderdijk,7157.0,265.0,16454.595363616943,1567.7250769245077,348.0,hVb,-5.486190019169965,0.0140612114843761,406.8313909665952,518.0,0.7853887856497977,0.075728714373,0.11963278496600001,-0.026778230722,65.0
631,blank_no_displacement,False,,,,,51.967192469109875,4.679832419597307,Polygon,False,1,38,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Eendragtspolder,6717.0,331.0,16493.608238220215,1630.1515171265323,,,,,,,,,,,
633,moving,True,633.0,7508.0,51.94293091202525,4.646759883553168,51.94293090453794,4.646760033230177,Polygon,False,1,71,0,344,Rotterdam,pVb,Weideveengronden op bosveen (of eutroof broekveen),20.0,74.57142857142857,Kinderdijk,7157.0,265.0,36404.05274581909,1679.600400429861,344.0,pVb,-5.9668926779030995,0.01282410862500043,444.550064964444,695.0,0.6396403812438043,0.06914811345500001,0.143735878479,-0.027980739403999998,69.0
732,moving,True,732.0,5494.0,51.99883038488853,4.746381335499155,51.998830380118385,4.746381348355636,Polygon,False,1,63,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25649.0,265.0,12147.07238006592,624.5933305825448,348.0,pVb,-6.293208954466905,0.02642383828125026,320.57660432109185,452.0,0.7092402750466634,0.07434851515299999,0.16346220142,-0.026428174087,70.0
735,moving,True,735.0,5494.0,52.000733573906466,4.746939043656523,52.00073357157312,4.746939053444401,Polygon,False,1,43,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25649.0,265.0,10516.340061187744,642.8242778385891,348.0,pVb,-6.885053322335674,0.0296079958124972,268.99999958094617,422.0,0.6374407573008203,0.068353206265,0.231819171923,-0.025714484864,70.0
736,moving,True,736.0,7756.0,51.99440778708071,4.749698626662691,51.994407716005455,4.749698720469724,Polygon,False,1,45,0,348,Cabauw mast,pVb,Weideveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,25649.0,265.0,36105.36763381958,1632.1637142957275,348.0,pVb,-6.299192060000037,0.024490200000000285,309.3596687957827,614.0,0.5038431087879197,0.07018797086,0.17085597680700002,-0.025710987999999997,69.0
776,blank_no_displacement,False,,,,,52.01599579503108,4.833514141350449,MultiPolygon,True,2,54,0,348,Cabauw mast,Rn95A/Rd90A,"Kalkhoudende poldervaaggronden; zware zavel en lichte klei, profielverloop 5",71.0,139.0,Vlist,6196.0,331.0,10236.6376953125,552.8352718570861,,,,,,,,,,,
788,moving,True,788.0,7844.0,51.961159944571016,4.801373130009513,51.96115990119257,4.801373150909062,Polygon,False,1,65,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,28212.317989349365,1251.6859044228602,348.0,hVb,-6.125442523034658,0.022544006468750245,277.7073139899073,625.0,0.44433170238385167,0.07374524936799999,0.127605618996,-0.028673809353,68.0
849,moving,True,849.0,7941.0,51.973788322258464,4.751788106964908,51.973788304357846,4.751788220475151,Polygon,False,1,50,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,23228.698127746582,1434.1264828108424,348.0,hVb,-5.482918503748605,0.01434584250000055,403.2478186683205,564.0,0.7149784018941853,0.074365754316,0.123093722751,-0.026296971241,65.0
850,moving,True,850.0,7988.0,51.977310528928264,4.748252987188487,51.97731053111273,4.748253001916053,Polygon,False,1,21,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,9610.364120483398,549.4230251102254,348.0,hVb,-5.504582537850184,0.03211699218750216,271.4706497786549,333.0,0.8152271765124771,0.073648429159,0.118215346957,-0.026688885032,68.0
851,moving,True,851.0,7941.0,51.9754661798986,4.750943962045327,51.97546617935044,4.75094398621621,Polygon,False,1,26,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,12143.131565093994,680.0210356250649,348.0,hVb,-6.762157993248091,0.018066474562500486,421.4863833762429,530.0,0.7952573271249865,0.071557021369,0.20955984824,-0.026286328448,70.0
856,moving,True,856.0,7941.0,51.97325945114711,4.754184990286428,51.973259448802104,4.754185023809251,Polygon,False,1,33,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,14366.78895187378,800.9697423186907,348.0,hVb,-5.387101000862224,0.014093478000001172,488.1389624922361,635.0,0.7687227755783246,0.075531886487,0.117520730644,-0.026537443354,68.0
857,moving,True,857.0,7991.0,51.96699932925055,4.761633080697506,51.96699930283415,4.761633121605206,Polygon,False,1,66,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,20037.13401031494,1186.025907725077,348.0,hVb,-6.928213088010676,0.019745165687501003,403.75055766682544,617.0,0.6543769168019862,0.073174708679,0.142296327175,-0.030353617034,70.0
858,moving,True,858.0,7941.0,51.974934651405235,4.750876113821515,51.974934615948996,4.75087631835463,Polygon,False,1,85,0,348,Cabauw mast,hVb,Koopveengronden op bosveen (of eutroof broekveen),17.0,66.0,Vlist,7480.0,265.0,32577.149528503418,1923.6509392293738,348.0,hVb,-6.488570417379896,0.01436212959374954,429.10784595319694,656.0,0.6541278139530441,0.076960266675,0.184750314442,-0.02685388688,64.0
865,moving,True,865.0,6760.0,51.89999073322208,4.712285201839209,51.8999907364105,4.7122852042321846,Polygon,False,1,42,0,348,Cabauw mast,eMv41C,"Kalkarme drechtvaaggronden; zware klei, profielverloop 1",18.0,68.0,Kinderdijk,7155.0,265.0,6284.883407592773,416.18725974141614,348.0,eMv41C,-5.765581456383486,0.016359025624999923,330.4417070227589,349.0,0.9468243754233779,0.068518317526,0.102262042605,-0.028863987265999997,70.0
