x_rum,y_rum,east,north,up,var_east,var_north,var_up,covar_en,covar_eu,covar_nu
227750.0,574250.0,0.47483564694801234,1.2609047222261682,-0.6379286991898043,0.06559504850582598,0.31020264605857734,0.04946438749123982,0.10733714833343075,1.3784832263810283e-07,3.6605002611434173e-07
228250.0,574250.0,0.25028586806140424,0.48483668691652165,-1.071668006193915,0.06735728322841646,0.20292233784635766,0.0465106408514003,0.09540757457177762,6.903466209753203e-08,1.3372923175014202e-07
228750.0,574250.0,0.7507048233742406,1.1805344353238971,-0.6561132024007572,0.0703638700961673,0.15206103103759747,0.02254287130140384,0.08722127231556506,4.04457855950114e-08,6.36037509976609e-08
229250.0,574250.0,0.822358578349557,1.1281492184681983,-0.7471109074019625,0.07184650305135162,0.12366166337187483,0.021654944231211927,0.0805958614238155,3.7403949581218116e-08,5.131245371375999e-08
229750.0,574250.0,0.8693087167683258,1.1005393401947716,-0.7901593418784233,0.0714390744057614,0.1072822241935062,0.021062040671624784,0.0752848682389923,3.541926054325949e-08,4.484055994903122e-08
230250.0,574250.0,0.5895312888887009,0.7234288839981791,-0.9437652639976839,0.037594244081948176,0.05352331729770735,0.009630416623907836,0.03864282637281612,1.349963935041154e-08,1.6565751833215892e-08
233250.0,574250.0,0.2276245776093768,0.9530724385275289,-1.0361395870771386,0.047827612442058236,0.3727440729984871,0.07612754383220098,0.08229474558744374,4.098697834282602e-07,1.7161397862803995e-06
233750.0,574250.0,0.05799170939438365,0.8313562536612981,-1.3630634598068991,0.030877843799899378,0.40291652812802103,0.09944784074149457,0.026078656026789677,8.972992662999405e-06,0.00012863482801843323
234250.0,574250.0,-0.07374225674016804,0.7835185457459425,-1.3965209799408091,0.03231363886742714,0.4008963258985591,0.09740712634191129,-0.03499985000082473,-2.4344732849519674e-06,2.5866511986524353e-05
236250.0,574250.0,-0.06823797593622957,0.15497748605867112,-1.6901867882030146,0.02842221458122474,0.10847280346776372,0.008274073238059149,-0.043723814145991934,-1.0792575959886826e-08,2.4511370207164558e-08
237250.0,574250.0,-0.2686345200608191,0.8436447266133456,-0.841576126390329,0.05103802586298293,0.29684090639932575,0.042395965689764885,-0.08710016870536096,-6.52107248393825e-08,2.0479379983229096e-07
237750.0,574250.0,-0.08835879227977736,0.45697786786237143,-1.699052162908544,0.029707005866954475,0.27281539473895905,0.015963358827505724,-0.048831760697654075,-2.2770733049186244e-08,1.1776667346846386e-07
238250.0,574250.0,-0.03773877354938152,0.8749632148091132,-1.2912012242473787,0.029715570983463373,0.4034849292932339,0.0973275131298902,-0.016151407591042777,-1.1383427263498155e-06,2.6392166934050456e-05
238750.0,574250.0,0.12455855825225537,1.0620608223746872,-1.2640943070483535,0.03388646849717115,0.3964860841169021,0.08906960919396942,0.04311878733536092,6.358224681807264e-07,5.421402936221754e-06
239250.0,574250.0,0.32570770340961563,1.1884180748140838,-1.025798282916589,0.052770908098565016,0.36114237400492355,0.07061412122190155,0.09137859820689023,3.1814112655301317e-07,1.16080971122083e-06
242250.0,574250.0,0.17498358930218977,0.225105006809274,-2.5541728824298806,0.05185756175588975,0.08003365507662044,0.010114292735580056,0.055345680891447264,1.036551174244688e-08,1.333455668997364e-08
228250.0,574750.0,0.5903470241538857,1.1928222780864444,-0.590833027019755,0.06958481558825784,0.22355499967430006,0.03205424090954547,0.10092248991383834,6.20607217208272e-08,1.2539643368038605e-07
228750.0,574750.0,0.7440081169905336,1.2027312150104177,-0.7163625204841363,0.07271440701372041,0.16439721481940386,0.024188734029936456,0.09187043003480093,4.49994861627694e-08,7.274421532699587e-08
229250.0,574750.0,0.8621476903687171,1.2025392864798068,-1.0224471556942918,0.08250244591231597,0.1460349481677539,0.02672796593123257,0.09372249800187339,5.0871894199965235e-08,7.09570437136349e-08
229750.0,574750.0,0.8809473564068131,1.1244319905101012,-0.8505991635681246,0.07463379206421412,0.11365543802170379,0.022503797592425007,0.07916270708409537,3.865463088107072e-08,4.9338366507299076e-08
230250.0,574750.0,0.6455368065036567,0.7938034650649878,-1.0842923305678276,0.04423705176042842,0.06320555839606404,0.011360613657998064,0.045547040556834915,1.608840045432378e-08,1.9783578409983347e-08
232250.0,574750.0,0.5694388464928793,1.0534475712016929,-1.9153345011845895,0.07302722976173738,0.2048393585835485,0.034657399181628065,0.1006639749171081,7.561836163970793e-08,1.3989207076092536e-07
232750.0,574750.0,0.4436134430207589,1.136535755199335,-1.3511778032727029,0.06656813607423698,0.3002327377354509,0.044901201984313216,0.10759648542258382,1.235224988090954e-07,3.1646411684944076e-07
233250.0,574750.0,0.19684383047446613,0.8833980668541542,-1.4587741006068098,0.045254590269708954,0.373953326240743,0.07416189445449059,0.0770691230646554,3.5856635366192027e-07,1.609178316132046e-06
233750.0,574750.0,0.03829389194815285,0.7671838613470818,-1.5563059641292876,0.030014064527419164,0.40409388229221144,0.09989517645083129,0.018718787754728045,3.4494396858666174e-05,0.0006910643768645894
234250.0,574750.0,-0.08037948932684805,0.7011374530423112,-1.6068328543815558,0.03374117095504698,0.39761273106973566,0.093013444788491,-0.04227034815833334,-1.0190984532524826e-06,8.889433111565447e-06
236250.0,574750.0,-0.010876333902475069,0.025441896008689027,-1.8645951106646983,0.04772044036710872,0.18992929406573372,0.01475015781553228,-0.07438865695911487,-2.193267647524602e-08,5.130486789748579e-08
236750.0,574750.0,-0.15753746411182223,0.4145622992291007,-1.8975261814184519,0.03255290116693104,0.1521269306157705,0.009267549778482214,-0.05310845432187158,-1.4089260451251406e-08,3.7076109102292555e-08
237250.0,574750.0,-0.10477612282800347,0.3674887028174749,-1.6353440866898101,0.023457902346051596,0.15412712877368576,0.0052568483950700745,-0.04055208294019013,-1.0286979570014365e-08,3.6080250691277475e-08
237750.0,574750.0,-0.10149703630044199,0.6602430744420943,-1.6735757719241462,0.027697488002370024,0.29073523065612733,0.0176189073914224,-0.04141465071021682,-2.31694514200124e-08,1.5071838938630287e-07
238250.0,574750.0,0.00018753790355776804,0.9647489204211568,-1.4889650210484762,0.029089286892766,0.4051612875235466,0.09999964372401707,7.31047796553735e-05,4.013855331739624e-05,0.2064842639573225
238750.0,574750.0,0.13750598475437076,0.8462782288954509,-1.6180467861288186,0.028376424257079955,0.2895205606458471,0.017866920176672643,0.04358213449208248,2.457418156809792e-08,1.5124137971997692e-07
239250.0,574750.0,0.2195635770100706,0.6856470997203005,-1.499037668307822,0.027076081817224883,0.15644702355800275,0.006738186188539798,0.04616196239337491,1.344151981621207e-08,4.197480840547629e-08
