x_rum,y_rum,east,north,up,var_east,var_north,var_up,covar_en,covar_eu,covar_nu
1576042.181238117,781489.252100735,-0.6952275781318766,0.9451594302175871,-9.095929504973416,0.22137573366757504,0.3550701595419348,0.04537986921777092,-0.21427792646798705,1.112807134958806e-07,2.0660022183621316e-08
1576492.181238117,781489.252100735,0.00023901443023417526,0.14156572626061095,-8.695345791211016,0.12912417133029203,1.03824587324922,0.9998829074853709,0.001534932435618841,-1.2009539491146467e-07,-6.367807678827111e-06
1576942.181238117,781489.252100735,-0.9058572352863947,0.10234346698054912,-8.152201291398345,0.16218360143443297,0.02220486280185394,0.009651784976280931,-0.016019230104375684,8.759184276278806e-07,5.382795141543729e-08
1577392.181238117,781489.252100735,0.007983728822563232,0.04089954025348006,-7.947062015342409,0.12995100328541812,0.803640550396547,0.10373589907449847,0.13671595639845982,7.817927610512143e-06,3.0245836669870996e-10
1577842.181238117,781489.252100735,-0.02016920517714173,0.05707454076108476,-8.058050524009248,0.14516097740306186,0.5914484261653711,0.04760053058490284,-0.18021602124977687,6.634953687829421e-06,3.456221622266858e-07
1574692.181238117,781939.252100735,-0.22153495643417265,-0.32674960527934743,-8.960561249498584,0.170714392873313,0.30900739824620965,0.021148755541141085,0.17353030217650514,7.055684208968985e-07,2.2434878990805838e-08
1575142.181238117,781939.252100735,-0.24953564362950806,-0.2555735064179872,-8.694811200088942,0.17016541711795197,0.17662112907595484,0.013221779074768288,0.1349969914529534,1.2114109637423243e-07,-4.172397942461095e-09
1575592.181238117,781939.252100735,0.010733221043764627,-0.01771655339800542,-8.89680770181678,0.17030477991577617,0.36239376114677085,0.023257442120064704,-0.18385279010263328,9.451253600676152e-07,-1.7266462634087904e-08
1576042.181238117,781939.252100735,-0.6437065617764913,0.06285200479309412,-8.94013707716732,0.1875374045713704,0.025081246216676286,0.008616627469463472,-0.016015027293492804,-3.095698583911023e-08,4.434397425417048e-08
1576492.181238117,781939.252100735,-0.3932656207453368,-0.5036905702874999,-8.863777140886214,0.17805787878513663,0.2609895628714855,0.020353691247585903,0.165856251538324,-7.202412572556174e-07,-8.527930002241996e-08
1576942.181238117,781939.252100735,-0.43724357332778513,0.5568882683799056,-8.239307420336283,0.1714228427118579,0.2491321104139356,0.01961226233027764,-0.15908414156003806,2.582486435460542e-06,1.6259343637439195e-07
1577392.181238117,781939.252100735,0.039894048974012296,0.10512824078427502,-8.643323347874677,0.14574135400480745,0.55278750789273,0.0405316552997544,0.18045176107445965,8.904581409642325e-06,-2.480222632838304e-08
1577842.181238117,781939.252100735,-0.011215756015012875,-0.12441385380083797,-9.122262314235599,0.12974035440042947,0.9802241377002323,0.461110864300203,0.07729825534851445,6.227895501729749e-06,-3.693339118463692e-07
1578292.181238117,781939.252100735,0.09372933409093066,0.10834094674271572,-9.005782634965916,0.17372813236996837,0.21756949052561855,0.013970164479316064,0.1507827159839426,1.3542951201031025e-06,-1.0250306523668579e-07
1578742.181238117,781939.252100735,-0.006249324766036412,-0.020581058275185925,-8.975819426245648,0.14539186010440844,0.6790530801517559,0.06269005664674948,0.1785010786787516,8.756721895010387e-07,4.411983296724141e-08
